run,epoch,metric,value
0,0,loss,0.8003004789352417
0,1,loss,0.3685716390609741
0,2,loss,0.31521496176719666
0,3,loss,0.28864818811416626
0,4,loss,0.273446649312973
0,5,loss,0.2620235085487366
0,6,loss,0.2556075155735016
0,7,loss,0.24899721145629883
0,8,loss,0.2433905303478241
0,9,loss,0.24000565707683563
0,0,accuracy,0.7456333041191101
0,1,accuracy,0.8942000269889832
0,2,accuracy,0.9082333445549011
0,3,accuracy,0.9163333177566528
0,4,accuracy,0.9199333190917969
0,5,accuracy,0.9233333468437195
0,6,accuracy,0.9243666529655457
0,7,accuracy,0.9277499914169312
0,8,accuracy,0.9275833368301392
0,9,accuracy,0.9293500185012817
0,0,val_loss,0.41747456789016724
0,1,val_loss,0.32303759455680847
0,2,val_loss,0.30948352813720703
0,3,val_loss,0.31075409054756165
0,4,val_loss,0.2903044521808624
0,5,val_loss,0.2763144373893738
0,6,val_loss,0.2704229950904846
0,7,val_loss,0.28109586238861084
0,8,val_loss,0.26919761300086975
0,9,val_loss,0.2640714943408966
0,0,val_accuracy,0.8774999976158142
0,1,val_accuracy,0.90420001745224
0,2,val_accuracy,0.9126999974250793
0,3,val_accuracy,0.9114999771118164
0,4,val_accuracy,0.919700026512146
0,5,val_accuracy,0.9235000014305115
0,6,val_accuracy,0.9204000234603882
0,7,val_accuracy,0.9211999773979187
0,8,val_accuracy,0.9240999817848206
0,9,val_accuracy,0.9258000254631042
1,0,loss,0.748107373714447
1,1,loss,0.3961244523525238
1,2,loss,0.33774691820144653
1,3,loss,0.3037809431552887
1,4,loss,0.2828504741191864
1,5,loss,0.2689378559589386
1,6,loss,0.25590792298316956
1,7,loss,0.2472367137670517
1,8,loss,0.24015817046165466
1,9,loss,0.2353181540966034
1,0,accuracy,0.7676666378974915
1,1,accuracy,0.8883500099182129
1,2,accuracy,0.9043499827384949
1,3,accuracy,0.9140166640281677
1,4,accuracy,0.918483316898346
1,5,accuracy,0.9242666959762573
1,6,accuracy,0.9264500141143799
1,7,accuracy,0.9294000267982483
1,8,accuracy,0.9314500093460083
1,9,accuracy,0.9321500062942505
1,0,val_loss,0.4287833571434021
1,1,val_loss,0.36546823382377625
1,2,val_loss,0.31694671511650085
1,3,val_loss,0.30413660407066345
1,4,val_loss,0.29782137274742126
1,5,val_loss,0.26961344480514526
1,6,val_loss,0.2683480679988861
1,7,val_loss,0.27416276931762695
1,8,val_loss,0.2506042420864105
1,9,val_loss,0.25028806924819946
1,0,val_accuracy,0.878600001335144
1,1,val_accuracy,0.8971999883651733
1,2,val_accuracy,0.9075999855995178
1,3,val_accuracy,0.9132000207901001
1,4,val_accuracy,0.9117000102996826
1,5,val_accuracy,0.921500027179718
1,6,val_accuracy,0.9221000075340271
1,7,val_accuracy,0.9251000285148621
1,8,val_accuracy,0.9296000003814697
1,9,val_accuracy,0.9279999732971191
2,0,loss,0.6756361722946167
2,1,loss,0.3563494086265564
2,2,loss,0.318210244178772
2,3,loss,0.29328784346580505
2,4,loss,0.2747105062007904
2,5,loss,0.2622220814228058
2,6,loss,0.2544413208961487
2,7,loss,0.24906663596630096
2,8,loss,0.2428177148103714
2,9,loss,0.238793283700943
2,0,accuracy,0.7960333228111267
2,1,accuracy,0.9008833169937134
2,2,accuracy,0.9111499786376953
2,3,accuracy,0.918066680431366
2,4,accuracy,0.9224333167076111
2,5,accuracy,0.9254000186920166
2,6,accuracy,0.9271833300590515
2,7,accuracy,0.9288833141326904
2,8,accuracy,0.9303500056266785
2,9,accuracy,0.9311166405677795
2,0,val_loss,0.36898690462112427
2,1,val_loss,0.3173038959503174
2,2,val_loss,0.2905951738357544
2,3,val_loss,0.2872432470321655
2,4,val_loss,0.2621482312679291
2,5,val_loss,0.26564323902130127
2,6,val_loss,0.25249630212783813
2,7,val_loss,0.2553237974643707
2,8,val_loss,0.24657070636749268
2,9,val_loss,0.24478381872177124
2,0,val_accuracy,0.8974999785423279
2,1,val_accuracy,0.9128000140190125
2,2,val_accuracy,0.9200000166893005
2,3,val_accuracy,0.9189000129699707
2,4,val_accuracy,0.9291999936103821
2,5,val_accuracy,0.9269999861717224
2,6,val_accuracy,0.9286999702453613
2,7,val_accuracy,0.9269000291824341
2,8,val_accuracy,0.9308000206947327
2,9,val_accuracy,0.9297000169754028
3,0,loss,0.8292143940925598
3,1,loss,0.387493759393692
3,2,loss,0.34031373262405396
3,3,loss,0.31554004549980164
3,4,loss,0.29582303762435913
3,5,loss,0.28050872683525085
3,6,loss,0.2686040997505188
3,7,loss,0.2597256600856781
3,8,loss,0.2510922849178314
3,9,loss,0.24545517563819885
3,0,accuracy,0.7345333099365234
3,1,accuracy,0.8899333477020264
3,2,accuracy,0.9044666886329651
3,3,accuracy,0.9107000231742859
3,4,accuracy,0.9174166917800903
3,5,accuracy,0.9200999736785889
3,6,accuracy,0.9229999780654907
3,7,accuracy,0.9258833527565002
3,8,accuracy,0.9276999831199646
3,9,accuracy,0.9295166730880737
3,0,val_loss,0.4112567901611328
3,1,val_loss,0.37218737602233887
3,2,val_loss,0.3214542269706726
3,3,val_loss,0.32920315861701965
3,4,val_loss,0.2980327308177948
3,5,val_loss,0.28801482915878296
3,6,val_loss,0.2958422601222992
3,7,val_loss,0.3011739253997803
3,8,val_loss,0.28705859184265137
3,9,val_loss,0.2756998538970947
3,0,val_accuracy,0.8813999891281128
3,1,val_accuracy,0.8910999894142151
3,2,val_accuracy,0.90829998254776
3,3,val_accuracy,0.9067999720573425
3,4,val_accuracy,0.9146000146865845
3,5,val_accuracy,0.9186999797821045
3,6,val_accuracy,0.9175999760627747
3,7,val_accuracy,0.9168999791145325
3,8,val_accuracy,0.9211999773979187
3,9,val_accuracy,0.9229000210762024
4,0,loss,0.8646852970123291
4,1,loss,0.39988836646080017
4,2,loss,0.34009069204330444
4,3,loss,0.3072030544281006
4,4,loss,0.2854969799518585
4,5,loss,0.27052807807922363
4,6,loss,0.25988736748695374
4,7,loss,0.25253787636756897
4,8,loss,0.24653631448745728
4,9,loss,0.24119967222213745
4,0,accuracy,0.7201333045959473
4,1,accuracy,0.8883000016212463
4,2,accuracy,0.9042999744415283
4,3,accuracy,0.9125166535377502
4,4,accuracy,0.9185666441917419
4,5,accuracy,0.9223999977111816
4,6,accuracy,0.9256333112716675
4,7,accuracy,0.927049994468689
4,8,accuracy,0.9291666746139526
4,9,accuracy,0.9301999807357788
4,0,val_loss,0.4365580976009369
4,1,val_loss,0.3409937620162964
4,2,val_loss,0.31254395842552185
4,3,val_loss,0.30901607871055603
4,4,val_loss,0.2803874611854553
4,5,val_loss,0.27727994322776794
4,6,val_loss,0.2708739936351776
4,7,val_loss,0.26921966671943665
4,8,val_loss,0.27220016717910767
4,9,val_loss,0.25639697909355164
4,0,val_accuracy,0.8817999958992004
4,1,val_accuracy,0.9028000235557556
4,2,val_accuracy,0.9125999808311462
4,3,val_accuracy,0.9110000133514404
4,4,val_accuracy,0.9207000136375427
4,5,val_accuracy,0.9194999933242798
4,6,val_accuracy,0.9229000210762024
4,7,val_accuracy,0.9218999743461609
4,8,val_accuracy,0.9200000166893005
4,9,val_accuracy,0.9257000088691711
5,0,loss,0.698773980140686
5,1,loss,0.3772455155849457
5,2,loss,0.31821924448013306
5,3,loss,0.29518675804138184
5,4,loss,0.279895156621933
5,5,loss,0.27079951763153076
5,6,loss,0.26372602581977844
5,7,loss,0.25769904255867004
5,8,loss,0.25523731112480164
5,9,loss,0.25075650215148926
5,0,accuracy,0.781000018119812
5,1,accuracy,0.8887666463851929
5,2,accuracy,0.9074000120162964
5,3,accuracy,0.914733350276947
5,4,accuracy,0.9189333319664001
5,5,accuracy,0.921833336353302
5,6,accuracy,0.9232000112533569
5,7,accuracy,0.9248666763305664
5,8,accuracy,0.9254833459854126
5,9,accuracy,0.9267666935920715
5,0,val_loss,0.40583449602127075
5,1,val_loss,0.33088237047195435
5,2,val_loss,0.30705538392066956
5,3,val_loss,0.29187947511672974
5,4,val_loss,0.29363250732421875
5,5,val_loss,0.2846221625804901
5,6,val_loss,0.2785661816596985
5,7,val_loss,0.2790830731391907
5,8,val_loss,0.2808402478694916
5,9,val_loss,0.28149649500846863
5,0,val_accuracy,0.8837000131607056
5,1,val_accuracy,0.9036999940872192
5,2,val_accuracy,0.9121999740600586
5,3,val_accuracy,0.9147999882698059
5,4,val_accuracy,0.9121999740600586
5,5,val_accuracy,0.9172000288963318
5,6,val_accuracy,0.9180999994277954
5,7,val_accuracy,0.9193000197410583
5,8,val_accuracy,0.9190999865531921
5,9,val_accuracy,0.9174000024795532
6,0,loss,0.7195044159889221
6,1,loss,0.3982562720775604
6,2,loss,0.34595635533332825
6,3,loss,0.3156769871711731
6,4,loss,0.2987889051437378
6,5,loss,0.2847532331943512
6,6,loss,0.27149727940559387
6,7,loss,0.2605785131454468
6,8,loss,0.2510789930820465
6,9,loss,0.24343012273311615
6,0,accuracy,0.7819499969482422
6,1,accuracy,0.8880166411399841
6,2,accuracy,0.9016500115394592
6,3,accuracy,0.910183310508728
6,4,accuracy,0.9150999784469604
6,5,accuracy,0.9184333086013794
6,6,accuracy,0.9225666522979736
6,7,accuracy,0.9253000020980835
6,8,accuracy,0.9273499846458435
6,9,accuracy,0.9291999936103821
6,0,val_loss,0.4245997667312622
6,1,val_loss,0.3731318712234497
6,2,val_loss,0.33181095123291016
6,3,val_loss,0.3183436095714569
6,4,val_loss,0.3080458343029022
6,5,val_loss,0.29089847207069397
6,6,val_loss,0.2849878966808319
6,7,val_loss,0.27754199504852295
6,8,val_loss,0.2661512792110443
6,9,val_loss,0.2562146782875061
6,0,val_accuracy,0.8845000267028809
6,1,val_accuracy,0.8985999822616577
6,2,val_accuracy,0.9081000089645386
6,3,val_accuracy,0.911300003528595
6,4,val_accuracy,0.9150999784469604
6,5,val_accuracy,0.9222999811172485
6,6,val_accuracy,0.9185000061988831
6,7,val_accuracy,0.9248999953269958
6,8,val_accuracy,0.9243000149726868
6,9,val_accuracy,0.9296000003814697
7,0,loss,0.7405229806900024
7,1,loss,0.41084837913513184
7,2,loss,0.3440256416797638
7,3,loss,0.31335654854774475
7,4,loss,0.2944302260875702
7,5,loss,0.2816835343837738
7,6,loss,0.2723197340965271
7,7,loss,0.2646252512931824
7,8,loss,0.2595175504684448
7,9,loss,0.25381526350975037
7,0,accuracy,0.7692000269889832
7,1,accuracy,0.8852999806404114
7,2,accuracy,0.9046499729156494
7,3,accuracy,0.9127166867256165
7,4,accuracy,0.9177833199501038
7,5,accuracy,0.9199833273887634
7,6,accuracy,0.9231333136558533
7,7,accuracy,0.9247333407402039
7,8,accuracy,0.9261666536331177
7,9,accuracy,0.9273166656494141
7,0,val_loss,0.47166675329208374
7,1,val_loss,0.36077162623405457
7,2,val_loss,0.31863144040107727
7,3,val_loss,0.306581050157547
7,4,val_loss,0.2845553755760193
7,5,val_loss,0.27512210607528687
7,6,val_loss,0.281284362077713
7,7,val_loss,0.2698739469051361
7,8,val_loss,0.26166364550590515
7,9,val_loss,0.2770293653011322
7,0,val_accuracy,0.8644999861717224
7,1,val_accuracy,0.8991000056266785
7,2,val_accuracy,0.9103000164031982
7,3,val_accuracy,0.9165999889373779
7,4,val_accuracy,0.9204000234603882
7,5,val_accuracy,0.9230999946594238
7,6,val_accuracy,0.9217000007629395
7,7,val_accuracy,0.9243999719619751
7,8,val_accuracy,0.9251999855041504
7,9,val_accuracy,0.9204000234603882
8,0,loss,0.8521701693534851
8,1,loss,0.3634755611419678
8,2,loss,0.301862508058548
8,3,loss,0.27518749237060547
8,4,loss,0.2618137300014496
8,5,loss,0.25187841057777405
8,6,loss,0.24496020376682281
8,7,loss,0.23856325447559357
8,8,loss,0.23410683870315552
8,9,loss,0.23014751076698303
8,0,accuracy,0.7350000143051147
8,1,accuracy,0.8956833481788635
8,2,accuracy,0.9121166467666626
8,3,accuracy,0.9195333123207092
8,4,accuracy,0.9226166605949402
8,5,accuracy,0.9263666868209839
8,6,accuracy,0.9275833368301392
8,7,accuracy,0.9300500154495239
8,8,accuracy,0.9314000010490417
8,9,accuracy,0.932366669178009
8,0,val_loss,0.39958456158638
8,1,val_loss,0.3174684941768646
8,2,val_loss,0.30645251274108887
8,3,val_loss,0.27664247155189514
8,4,val_loss,0.2762281596660614
8,5,val_loss,0.2731664776802063
8,6,val_loss,0.2621917128562927
8,7,val_loss,0.2764735221862793
8,8,val_loss,0.2736338973045349
8,9,val_loss,0.2556871473789215
8,0,val_accuracy,0.8892999887466431
8,1,val_accuracy,0.9085999727249146
8,2,val_accuracy,0.9110999703407288
8,3,val_accuracy,0.91839998960495
8,4,val_accuracy,0.9229999780654907
8,5,val_accuracy,0.9225000143051147
8,6,val_accuracy,0.9269000291824341
8,7,val_accuracy,0.9228000044822693
8,8,val_accuracy,0.9254999756813049
8,9,val_accuracy,0.930400013923645
9,0,loss,0.687484860420227
9,1,loss,0.33720722794532776
9,2,loss,0.28786608576774597
9,3,loss,0.26671725511550903
9,4,loss,0.25364503264427185
9,5,loss,0.24697475135326385
9,6,loss,0.24057787656784058
9,7,loss,0.23655593395233154
9,8,loss,0.2302059531211853
9,9,loss,0.22718343138694763
9,0,accuracy,0.7823166847229004
9,1,accuracy,0.9022499918937683
9,2,accuracy,0.9159833192825317
9,3,accuracy,0.9206833243370056
9,4,accuracy,0.9254999756813049
9,5,accuracy,0.9265833497047424
9,6,accuracy,0.9283333420753479
9,7,accuracy,0.9300833344459534
9,8,accuracy,0.9315000176429749
9,9,accuracy,0.9330666661262512
9,0,val_loss,0.3773747980594635
9,1,val_loss,0.294648677110672
9,2,val_loss,0.2720889747142792
9,3,val_loss,0.28582707047462463
9,4,val_loss,0.2593748867511749
9,5,val_loss,0.2534577250480652
9,6,val_loss,0.2501024603843689
9,7,val_loss,0.24012887477874756
9,8,val_loss,0.2544226348400116
9,9,val_loss,0.24471528828144073
9,0,val_accuracy,0.8902000188827515
9,1,val_accuracy,0.9129999876022339
9,2,val_accuracy,0.9193000197410583
9,3,val_accuracy,0.9136000275611877
9,4,val_accuracy,0.9222000241279602
9,5,val_accuracy,0.925599992275238
9,6,val_accuracy,0.9246000051498413
9,7,val_accuracy,0.9289000034332275
9,8,val_accuracy,0.9262999892234802
9,9,val_accuracy,0.9264000058174133
10,0,loss,0.6916167140007019
10,1,loss,0.34274640679359436
10,2,loss,0.30159270763397217
10,3,loss,0.2821800112724304
10,4,loss,0.26927047967910767
10,5,loss,0.2604196071624756
10,6,loss,0.25353771448135376
10,7,loss,0.24874535202980042
10,8,loss,0.24434387683868408
10,9,loss,0.2381061315536499
10,0,accuracy,0.7836833596229553
10,1,accuracy,0.9044333100318909
10,2,accuracy,0.9150166511535645
10,3,accuracy,0.9203166961669922
10,4,accuracy,0.9235333204269409
10,5,accuracy,0.9263166785240173
10,6,accuracy,0.9280999898910522
10,7,accuracy,0.9286166429519653
10,8,accuracy,0.9301666617393494
10,9,accuracy,0.9318333268165588
10,0,val_loss,0.3563029170036316
10,1,val_loss,0.32102876901626587
10,2,val_loss,0.29105639457702637
10,3,val_loss,0.30170735716819763
10,4,val_loss,0.2755860686302185
10,5,val_loss,0.2716229259967804
10,6,val_loss,0.2659594416618347
10,7,val_loss,0.27111998200416565
10,8,val_loss,0.2693960964679718
10,9,val_loss,0.257476806640625
10,0,val_accuracy,0.9052000045776367
10,1,val_accuracy,0.9093999862670898
10,2,val_accuracy,0.9210000038146973
10,3,val_accuracy,0.9144999980926514
10,4,val_accuracy,0.9204999804496765
10,5,val_accuracy,0.9239000082015991
10,6,val_accuracy,0.9269000291824341
10,7,val_accuracy,0.9254000186920166
10,8,val_accuracy,0.9258000254631042
10,9,val_accuracy,0.9284999966621399
11,0,loss,0.7124103903770447
11,1,loss,0.3576763868331909
11,2,loss,0.3186693489551544
11,3,loss,0.2996475398540497
11,4,loss,0.28734731674194336
11,5,loss,0.2780708372592926
11,6,loss,0.2695692181587219
11,7,loss,0.26371467113494873
11,8,loss,0.2581500709056854
11,9,loss,0.25413617491722107
11,0,accuracy,0.7703666687011719
11,1,accuracy,0.895716667175293
11,2,accuracy,0.9073333144187927
11,3,accuracy,0.9125166535377502
11,4,accuracy,0.9167666435241699
11,5,accuracy,0.9187999963760376
11,6,accuracy,0.9212666749954224
11,7,accuracy,0.9239000082015991
11,8,accuracy,0.9247333407402039
11,9,accuracy,0.9262333512306213
11,0,val_loss,0.3805729150772095
11,1,val_loss,0.33797401189804077
11,2,val_loss,0.3075501322746277
11,3,val_loss,0.30192264914512634
11,4,val_loss,0.2971922755241394
11,5,val_loss,0.2874424159526825
11,6,val_loss,0.27956312894821167
11,7,val_loss,0.316760778427124
11,8,val_loss,0.2675831615924835
11,9,val_loss,0.2745978832244873
11,0,val_accuracy,0.8871999979019165
11,1,val_accuracy,0.8985000252723694
11,2,val_accuracy,0.9115999937057495
11,3,val_accuracy,0.9117000102996826
11,4,val_accuracy,0.9136000275611877
11,5,val_accuracy,0.9174000024795532
11,6,val_accuracy,0.9179999828338623
11,7,val_accuracy,0.9074000120162964
11,8,val_accuracy,0.9223999977111816
11,9,val_accuracy,0.9199000000953674
12,0,loss,0.8147408962249756
12,1,loss,0.47777679562568665
12,2,loss,0.3929799795150757
12,3,loss,0.34049487113952637
12,4,loss,0.3060908019542694
12,5,loss,0.2859572470188141
12,6,loss,0.27500665187835693
12,7,loss,0.2666592001914978
12,8,loss,0.26117756962776184
12,9,loss,0.25708499550819397
12,0,accuracy,0.7544833421707153
12,1,accuracy,0.8660833239555359
12,2,accuracy,0.8892333507537842
12,3,accuracy,0.90256667137146
12,4,accuracy,0.9124833345413208
12,5,accuracy,0.9184166789054871
12,6,accuracy,0.9224833250045776
12,7,accuracy,0.9236000180244446
12,8,accuracy,0.9254666566848755
12,9,accuracy,0.9274500012397766
12,0,val_loss,0.5160225033760071
12,1,val_loss,0.43312200903892517
12,2,val_loss,0.35580435395240784
12,3,val_loss,0.31509530544281006
12,4,val_loss,0.2980467677116394
12,5,val_loss,0.2804999053478241
12,6,val_loss,0.2716729938983917
12,7,val_loss,0.2755312919616699
12,8,val_loss,0.2732503414154053
12,9,val_loss,0.2609275281429291
12,0,val_accuracy,0.8565000295639038
12,1,val_accuracy,0.8747000098228455
12,2,val_accuracy,0.8963000178337097
12,3,val_accuracy,0.9074000120162964
12,4,val_accuracy,0.9174000024795532
12,5,val_accuracy,0.920799970626831
12,6,val_accuracy,0.9225999712944031
12,7,val_accuracy,0.919700026512146
12,8,val_accuracy,0.920799970626831
12,9,val_accuracy,0.9259999990463257
13,0,loss,0.6993653774261475
13,1,loss,0.37998366355895996
13,2,loss,0.3409690856933594
13,3,loss,0.3183225393295288
13,4,loss,0.3012535274028778
13,5,loss,0.2874378263950348
13,6,loss,0.2753884196281433
13,7,loss,0.26733410358428955
13,8,loss,0.2595714330673218
13,9,loss,0.2534008324146271
13,0,accuracy,0.7818833589553833
13,1,accuracy,0.8956000208854675
13,2,accuracy,0.9053166508674622
13,3,accuracy,0.9109500050544739
13,4,accuracy,0.9152166843414307
13,5,accuracy,0.9176833629608154
13,6,accuracy,0.9221000075340271
13,7,accuracy,0.9229000210762024
13,8,accuracy,0.9247000217437744
13,9,accuracy,0.927299976348877
13,0,val_loss,0.42179423570632935
13,1,val_loss,0.35577642917633057
13,2,val_loss,0.332955002784729
13,3,val_loss,0.3147004246711731
13,4,val_loss,0.3080022633075714
13,5,val_loss,0.3027770519256592
13,6,val_loss,0.2931359112262726
13,7,val_loss,0.28121981024742126
13,8,val_loss,0.2851959466934204
13,9,val_loss,0.28268128633499146
13,0,val_accuracy,0.8827999830245972
13,1,val_accuracy,0.9010000228881836
13,2,val_accuracy,0.9054999947547913
13,3,val_accuracy,0.9117000102996826
13,4,val_accuracy,0.9150999784469604
13,5,val_accuracy,0.9165999889373779
13,6,val_accuracy,0.9190000295639038
13,7,val_accuracy,0.9215999841690063
13,8,val_accuracy,0.9197999835014343
13,9,val_accuracy,0.9180999994277954
14,0,loss,0.8602232933044434
14,1,loss,0.3920676112174988
14,2,loss,0.33788034319877625
14,3,loss,0.3101969361305237
14,4,loss,0.2930091619491577
14,5,loss,0.28000473976135254
